Others in Howell lab,,62 experiments,,,,
Bates # B00 or B0,Date,Inv,col1,col2,col3,average
,4/23/92,I,266,247,262,258.33
,4/23/92,I,170,151,156,159.00
,4/23/92,I,66,66,56,62.67
,4/23/92,I,22,13,27,20.67
,4/23/92,I,1,1,4,2.00
,4/23/92,I,10,13,12,11.67
,4/23/92,I,320,311,312,314.33
,4/23/92,I,194,192,203,196.33
,4/23/92,I,238,228,215,227.00
,4/23/92,I,94,81,79,84.67
,4/23/92,I,17,22,36,25.00
,4/23/92,I,14,8,13,11.67
,4/23/92,I,14,18,11,14.33
,4/23/92,I,5,3,6,4.67
,4/23/92,I,28,29,26,27.67
,4/23/92,I,33,20,37,30.00
,4/23/92,I,14,39,32,28.33
,5/14/92,I,189,182,180,183.67
,5/14/92,I,76,87,74,79.00
,5/14/92,I,29,26,25,26.67
,5/14/92,I,82,72,93,82.33
,5/14/92,I,46,36,57,46.33
,5/14/92,I,46,29,34,36.33
,5/14/92,I,24,23,23,23.33
,5/14/92,I,96,105,119,106.67
,5/14/92,I,68,60,60,62.67
,5/14/92,I,170,186,175,177.00
,6/30/92,I,155,150,162,155.67
,6/30/92,I,98,80,67,81.67
,6/30/92,I,107,110,,108.50
,6/30/92,I,91,64,62,72.33
,6/30/92,I,42,54,46,47.33
,6/30/92,I,27,21,,24.00
,6/30/92,I,9,10,12,10.33
,6/30/92,I,72,67,,69.50
,6/30/92,I,15,23,,19.00
,6/30/92,I,60,76,,68.00
,6/30/92,I,53,58,42,51.00
,6/30/92,I,150,136,,143.00
,6/30/92,I,84,79,68,77.00
13553,10/11/92,A,41,36,50,42.33
13553,10/11/92,A,49,45,31,41.67
13553,10/11/92,A,25,28,30,27.67
13553,10/11/92,A,14,19,20,17.67
13553,10/11/92,A,142,147,157,148.67
13553,10/11/92,A,51,60,67,59.33
13553,10/11/92,A,81,81,82,81.33
13553,10/11/92,A,89,93,97,93.00
13553,10/11/92,A,41,57,48,48.67
13553,10/11/92,A,74,71,70,71.67
13553,10/11/92,A,53,73,54,60.00
,10/21/92,I,262,277,245,261.33
,10/21/92,I,128,128,133,129.67
,10/21/92,I,93,93,89,91.67
,10/21/92,I,30,40,37,35.67
,10/21/92,I,28,33,38,33.00
,10/21/92,I,209,193,198,200.00
,10/21/92,I,135,135,130,133.33
,10/21/92,I,100,97,108,101.67
,10/21/92,I,51,57,53,53.67
,10/21/92,I,48,50,41,46.33
,10/21/92,I,308,319,315,314.00
13516,4/4/95,A,19,12,12,14.33
13516,4/4/95,A,7,7,11,8.33
13516,4/4/95,A,19,36,20,25.00
13516,4/4/95,A,10,7,20,12.33
13516,4/4/95,A,73,65,59,65.67
13516,4/4/95,A,7,12,14,11.00
13516,4/4/95,A,1,7,8,5.33
13516,4/4/95,A,2,8,10,6.67
13516,4/4/95,A,3,2,0,1.67
13523,4/25/95,A,2,11,5,6.00
13523,4/25/95,A,2,6,7,5.00
13523,4/25/95,A,14,33,37,28.00
13523,4/25/95,A,10,13,16,13.00
13523,4/25/95,A,52,61,51,54.67
13523,4/25/95,A,0,1,1,0.67
13523,4/25/95,A,0,0,1,0.33
13523,4/25/95,A,2,2,2,2.00
13523,4/25/95,A,0,0,2,0.67
13523,4/25/95,A,0,2,2,1.33
13533,6/27/95,A,72,75,61,69.33
13533,6/27/95,A,98,79,82,86.33
13533,6/27/95,A,30,20,42,30.67
13533,6/27/95,A,107,112,106,108.33
13533,6/27/95,A,37,35,44,38.67
13533,6/27/95,A,112,119,89,106.67
13533,6/27/95,A,112,109,96,105.67
13533,6/27/95,A,30,32,25,29.00
13533,6/27/95,A,24,26,30,26.67
13533,6/27/95,A,25,18,31,24.67
13533,6/27/95,A,192,192,186,190.00
13533,6/27/95,A,183,171,193,182.33
13540,7/24/95,A,50,56,84,63.33
13540,7/24/95,A,57,37,55,49.67
13540,7/24/95,A,32,29,34,31.67
13540,7/24/95,A,109,126,135,123.33
13540,7/24/95,A,63,58,62,61.00
13540,7/24/95,A,57,52,49,52.67
13540,7/24/95,A,55,45,54,51.33
13540,7/24/95,A,153,163,153,156.33
13540,7/24/95,A,263,253,267,261.00
13540,7/24/95,A,38,23,35,32.00
13546,9/25/95,A,81,90,72,81.00
