Other Investigators in the Lab,,,Coulter Counts,,,
Bates No.,Date,Coul 1,Coul 2,Coul 3,Average,Investigator
,4/15/92,1547,1574,1523,1548.00,I
,4/15/92,1617,1552,1570,1579.67,I
,4/15/92,1258,1279,1284,1273.67,I
,4/15/92,1273,1313,1286,1290.67,I
,4/15/92,1071,1044,1044,1053.00,I
,4/15/92,1014,1014,965,997.67,I
,4/15/92,1051,1012,990,1017.67,I
,4/15/92,948,954,918,940.00,I
,4/15/92,1039,977,1060,1025.33,I
,4/15/92,2023,1851,1830,1901.33,I
,4/29/92,1427,1401,1447,1425.00,I
,4/29/92,1181,1234,1109,1174.67,I
,4/29/92,1147,1131,1195,1157.67,I
,4/29/92,1252,1212,1267,1243.67,I
,4/29/92,1224,1248,1211,1227.67,I
,4/29/92,1297,1215,1194,1235.33,I
,4/29/92,1161,1212,1112,1161.67,I
,4/29/92,1065,1058,1014,1045.67,I
,4/29/92,1049,1035,1038,1040.67,I
,4/29/92,1657,1696,1649,1667.33,I
,6/30/92,1898,1814,1849,1853.67,I
,6/30/92,1594,1508,1596,1566.00,I
,6/30/92,1460,1460,1519,1479.67,I
,6/30/92,1430,1385,1406,1407.00,I
,6/30/92,1279,1297,1234,1270.00,I
,6/30/92,1165,1185,1162,1170.67,I
,6/30/92,1128,1077,1099,1101.33,I
,6/30/92,1125,1095,1078,1099.33,I
,6/30/92,1297,1213,1283,1264.33,I
,6/30/92,1972,1903,1865,1913.33,I
,8/3/92,4523,4509,4568,4533.33,I
,8/4/92,1028,986,975,996.33,I
,8/4/92,1020,940,927,962.33,I
,8/4/92,1012,976,962,983.33,I
,8/4/92,816,868,872,852.00,I
,8/4/92,757,693,678,709.33,I
,8/4/92,828,825,843,832.00,I
,8/4/92,719,710,766,731.67,I
,8/4/92,805,809,785,799.67,I
,8/4/92,881,851,831,854.33,I
,8/4/92,913,981,998,964.00,I
,10/14/92,1257,1291,1224,1257.33,I
,10/14/92,1032,987,1053,1024.00,I
,10/14/92,1126,1081,1074,1093.67,I
,10/14/92,1225,1248,1178,1217.00,I
,10/14/92,1034,986,988,1002.67,I
,10/14/92,994,988,1027,1003.00,I
,10/14/92,932,900,917,916.33,I
,10/14/92,878,866,850,864.67,I
,10/14/92,927,874,885,895.33,I
,10/14/92,1947,1847,1815,1869.67,I
B013507,2/13/95,148,179,143,156.67,A
B013507,2/13/95,149,163,136,149.33,A
B013507,2/13/95,162,173,149,161.33,A
B013507,2/13/95,159,124,146,143.00,A
B013507,2/13/95,146,155,165,155.33,A
B013507,2/13/95,153,142,164,153.00,A
B013507,2/13/95,133,154,159,148.67,A
B013510,4/4/95,334,327,,330.50,A
B013510,4/4/95,294,300,,297.00,A
B013510,4/4/95,342,347,,344.50,A
B013510,4/4/95,347,368,,357.50,A
B013510,4/4/95,368,401,358,375.67,A
B013510,4/4/95,314,297,,305.50,A
B013510,4/4/95,368,361,,364.50,A
B013510,4/4/95,352,362,,357.00,A
B013529,6/27/95,505,474,,489.50,A
B013529,6/27/95,524,477,,500.50,A
B013529,6/27/95,495,474,,484.50,A
B013529,6/27/95,467,458,,462.50,A
B013529,6/27/95,446,497,,471.50,A
B013529,6/27/95,451,448,,449.50,A
B013529,6/27/95,515,485,,500.00,A
B013529,6/27/95,469,458,,463.50,A
B013529,6/27/95,490,466,,478.00,A
B013529,6/27/95,441,435,,438.00,A
B013540,7/24/95,495,480,,487.50,A
B013540,7/24/95,481,508,,494.50,A
B013540,7/24/95,523,568,,545.50,A
B013540,7/24/95,545,511,,528.00,A
B013540,7/24/95,493,546,,519.50,A
B013540,7/24/95,498,541,,519.50,A
B013540,7/24/95,532,521,,526.50,A
B013540,7/24/95,476,448,,462.00,A
B013540,7/24/95,484,440,,462.00,A
B013540,7/24/95,451,402,,426.50,A
B013540,7/24/95,50,56,84,63.33,A
B013540,7/24/95,57,37,55,49.67,A
B013540,7/24/95,32,29,34,31.67,A
B013540,7/24/95,109,126,135,123.33,A
B013540,7/24/95,63,58,62,61.00,A
B013540,7/24/95,57,52,49,52.67,A
B013540,7/24/95,55,45,54,51.33,A
B013540,7/24/95,153,163,153,156.33,A
B013540,7/24/95,263,253,267,261.00,A
B013540,7/24/95,38,23,35,32.00,A
B013546,9/25/95,471,503,,487.00,A
B013546,9/25/95,593,612,,602.50,A
B013546,9/25/95,563,576,,569.50,A
B013546,9/25/95,543,558,,550.50,A
B013546,9/25/95,564,544,,554.00,A
B013546,9/25/95,580,562,,571.00,A
B013546,9/25/95,542,591,,566.50,A
B013546,9/25/95,521,511,,516.00,A
B013546,9/25/95,536,578,,557.00,A
B013546,9/25/95,556,571,,563.50,A
B013552,10/1/95,493,490,,491.50,A
B013552,10/1/95,507,517,,512.00,A
B013552,10/1/95,517,520,,518.50,A
B013552,10/1/95,591,588,,589.50,A
B013552,10/1/95,537,529,,533.00,A
B013552,10/1/95,505,538,,521.50,A
B013552,10/1/95,543,541,,542.00,A
B013552,10/1/95,492,500,,496.00,A
B013552,10/1/95,426,458,,442.00,A
B013552,10/1/95,481,453,,467.00,A
B013552,10/1/95,1312,1323,1247,1294.00,A
B013552,10/1/95,1216,1210,1237,1221.00,A
B013552,10/1/95,1218,1179,1234,1210.33,A
B013552,10/1/95,1145,1208,1166,1173.00,A
B013552,10/1/95,1142,1128,1088,1119.33,A
B013552,10/1/95,1153,1122,1136,1137.00,A
B013552,10/1/95,1245,1111,1217,1191.00,A
B013552,10/1/95,1233,1233,1204,1223.33,A
B013552,10/1/95,1153,1174,1170,1165.67,A
B013552,10/1/95,998,977,994,989.67,A
B013552,10/1/95,696,698,662,685.33,A
B013552,10/1/95,931,971,889,930.33,A
B013552,10/1/95,969,927,897,931.00,A
B013552,10/1/95,859,929,842,876.67,A
B013552,10/1/95,741,738,,739.50,A
B013552,10/1/95,956,950,,953.00,A
B013552,10/1/95,987,1021,,1004.00,A
B013552,10/1/95,964,1005,,984.50,A
B013552,10/1/95,1016,1036,,1026.00,A
B013552,10/1/95,792,735,,763.50,A
B013493,1/12/96,936,959,958,951.00,A
B013493,1/12/96,1012,988,959,986.33,A
B013493,1/12/96,986,943,1019,982.67,A
B013493,1/12/96,940,888,916,914.67,A
B013493,1/12/96,874,896,869,879.67,A
B013493,1/12/96,901,894,899,898.00,A
B013493,1/12/96,947,977,984,969.33,A
B013493,1/12/96,876,868,893,879.00,A
B013493,1/12/96,932,984,916,944.00,A
B013493,1/12/96,900,862,895,885.67,A
B013493,1/12/96,694,764,718,725.33,A
B013493,1/12/96,767,872,767,802.00,A
B013493,1/12/96,685,690,626,667.00,A
B013493,1/12/96,682,667,596,648.33,A
B013493,1/12/96,529,560,544,544.33,A
B013493,1/12/96,585,675,598,619.33,A
B013493,1/12/96,676,674,709,686.33,A
B013493,1/12/96,604,608,591,601.00,A
B013493,1/12/96,641,638,603,627.33,A
B013493,1/12/96,516,514,520,516.67,A
B013500,2/1/96,684,600,641,641.67,A
B013500,2/1/96,570,665,613,616.00,A
