Outside Lab 3 Colonies,,,,
date,c1,c2,c3,average
2/4/10,54,55,59,56.00
,47,60,47,51.33
2/5/10,55,60,53,56.00
,58,54,59,57.00
,17,17,15,16.33
2/12/12,65,64,55,61.33
2/15/12,64,57,73,64.67
,84,109,89,94.00
2/17/12,64,64,62,63.33
,68,57,68,64.33
2/19/12,66,65,78,69.67
,71,72,80,74.33
,61,61,77,66.33
,66,70,66,67.33
2/22/12,96,102,104,100.67
2/24/12,93,94,102,96.33
,70,72,81,74.33
2/26/12,70,70,78,72.67
3/8/12,72,80,70,74.00
,74,72,83,76.33
,109,97,89,98.33
,30,53,23,35.33
3/15/12,77,82,76,78.33
,72,80,70,74.00
,74,67,84,75.00
4/6/12,75,78,88,80.33
4/7/12,85,80,85,83.33
,100,105,98,101.00
,64,76,60,66.67
4/8/12,81,89,79,83.00
4/15/12,56,67,57,60.00
,42,51,40,44.33
4/16/12,77,60,67,68.00
4/19/12,83,83,84,83.33
,68,63,55,62.00
4/20/12,82,81,91,84.67
,49,45,57,50.33
4/21/12,84,75,83,80.67
,63,71,76,70.00
4/22/12,77,73,75,75.00
4/26/12,89,72,85,82.00
,74,82,83,79.67
4/30/12,83,77,80,80.00
5/4/12,74,74,69,72.33
,66,65,75,68.67
,48,64,55,55.67
5/10/12,69,63,57,63.00
5/12/12,80,82,80,80.67
,47,58,55,53.33
5/21/12,72,63,70,68.33
